 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 16, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/20Mg(p,p)/actar_triumf/SRIM files/20Mg_mixture_90-10_800mbar.txt

 Ion = Magnesium [12] , Mass = 20.01886 amu

 Target Density =  2.4448E-04 g/cm3 = 6.1773E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    056.25    023.79   
      C      6    012.50    063.00   
      H      1    031.25    013.22   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.114E-02  9.682E-02   90.17 um    20.68 um    16.16 um  
  11.00 keV   2.217E-02  9.611E-02   97.89 um    22.19 um    17.32 um  
  12.00 keV   2.315E-02  9.532E-02  105.60 um    23.67 um    18.46 um  
  13.00 keV   2.410E-02  9.449E-02  113.32 um    25.14 um    19.59 um  
  14.00 keV   2.501E-02  9.362E-02  121.05 um    26.59 um    20.71 um  
  15.00 keV   2.589E-02  9.272E-02  128.80 um    28.03 um    21.82 um  
  16.00 keV   2.674E-02  9.182E-02  136.55 um    29.45 um    22.93 um  
  17.00 keV   2.756E-02  9.091E-02  144.33 um    30.86 um    24.02 um  
  18.00 keV   2.836E-02  8.999E-02  152.12 um    32.26 um    25.11 um  
  20.00 keV   2.989E-02  8.819E-02  167.76 um    35.05 um    27.27 um  
  22.50 keV   3.171E-02  8.598E-02  187.42 um    38.48 um    29.94 um  
  25.00 keV   3.342E-02  8.385E-02  207.20 um    41.84 um    32.59 um  
  27.50 keV   3.505E-02  8.182E-02  227.09 um    45.13 um    35.22 um  
  30.00 keV   3.661E-02  7.987E-02  247.09 um    48.37 um    37.84 um  
  32.50 keV   3.810E-02  7.802E-02  267.20 um    51.54 um    40.44 um  
