 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 16, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/20Mg(p,p)/actar_triumf/SRIM files/20Na_mixture_90-10_800mbar.txt

 Ion = Sodium [11] , Mass = 20.00735 amu

 Target Density =  2.4448E-04 g/cm3 = 6.1773E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    056.25    023.79   
      C      6    012.50    063.00   
      H      1    031.25    013.22   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.406E-02  8.913E-02   94.03 um    21.10 um    16.54 um  
  11.00 keV   2.523E-02  8.832E-02  102.10 um    22.63 um    17.72 um  
  12.00 keV   2.635E-02  8.746E-02  110.16 um    24.13 um    18.89 um  
  13.00 keV   2.743E-02  8.656E-02  118.23 um    25.62 um    20.05 um  
  14.00 keV   2.847E-02  8.563E-02  126.31 um    27.08 um    21.19 um  
  15.00 keV   2.946E-02  8.470E-02  134.39 um    28.53 um    22.32 um  
  16.00 keV   3.043E-02  8.377E-02  142.48 um    29.95 um    23.45 um  
  17.00 keV   3.137E-02  8.284E-02  150.58 um    31.36 um    24.56 um  
  18.00 keV   3.228E-02  8.191E-02  158.69 um    32.76 um    25.67 um  
  20.00 keV   3.402E-02  8.010E-02  174.95 um    35.54 um    27.86 um  
  22.50 keV   3.609E-02  7.791E-02  195.36 um    38.94 um    30.57 um  
  25.00 keV   3.804E-02  7.582E-02  215.84 um    42.26 um    33.25 um  
  27.50 keV   3.990E-02  7.384E-02  236.39 um    45.49 um    35.90 um  
  30.00 keV   4.167E-02  7.195E-02  257.01 um    48.65 um    38.52 um  
  32.50 keV   4.337E-02  7.017E-02  277.68 um    51.74 um    41.13 um  
