 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/17Ne_800mbar_95-5.txt.txt

 Ion = Neon [10] , Mass = 19.99244 amu

 Target Density =  1.5820E-04 g/cm3 = 5.1382E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.772E-02  6.180E-02  136.22 um    25.98 um    20.80 um  
  11.00 keV   1.859E-02  6.113E-02  147.98 um    27.86 um    22.30 um  
  12.00 keV   1.941E-02  6.043E-02  159.73 um    29.71 um    23.79 um  
  13.00 keV   2.021E-02  5.971E-02  171.49 um    31.53 um    25.25 um  
  14.00 keV   2.097E-02  5.899E-02  183.25 um    33.33 um    26.70 um  
  15.00 keV   2.171E-02  5.827E-02  195.03 um    35.10 um    28.14 um  
  16.00 keV   2.242E-02  5.755E-02  206.82 um    36.85 um    29.56 um  
  17.00 keV   2.311E-02  5.684E-02  218.62 um    38.57 um    30.98 um  
  18.00 keV   2.378E-02  5.614E-02  230.44 um    40.28 um    32.38 um  
  20.00 keV   2.506E-02  5.478E-02  254.14 um    43.68 um    35.16 um  
  22.50 keV   2.658E-02  5.316E-02  283.85 um    47.85 um    38.59 um  
  25.00 keV   2.802E-02  5.163E-02  313.67 um    51.90 um    41.98 um  
  27.50 keV   2.939E-02  5.018E-02  343.56 um    55.83 um    45.33 um  
  30.00 keV   3.070E-02  4.882E-02  373.53 um    59.67 um    48.65 um  
  32.50 keV   3.195E-02  4.753E-02  403.56 um    63.41 um    51.94 um  
  35.00 keV   3.316E-02  4.632E-02  433.64 um    67.05 um    55.19 um  
