 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 16, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/20Mg(p,p)/actar_triumf/SRIM files/17Ne_mixture_90-10_800mbar.txt

 Ion = Neon [10] , Mass = 17.01767 amu

 Target Density =  2.4448E-04 g/cm3 = 6.1773E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    056.25    023.79   
      C      6    012.50    063.00   
      H      1    031.25    013.22   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.640E-02  7.790E-02   98.91 um    22.88 um    17.73 um  
  11.00 keV   2.768E-02  7.685E-02  107.64 um    24.57 um    19.04 um  
  12.00 keV   2.892E-02  7.578E-02  116.38 um    26.24 um    20.33 um  
  13.00 keV   3.010E-02  7.471E-02  125.12 um    27.88 um    21.60 um  
  14.00 keV   3.123E-02  7.365E-02  133.87 um    29.49 um    22.86 um  
  15.00 keV   3.233E-02  7.260E-02  142.64 um    31.08 um    24.11 um  
  16.00 keV   3.339E-02  7.157E-02  151.42 um    32.65 um    25.35 um  
  17.00 keV   3.442E-02  7.057E-02  160.21 um    34.20 um    26.59 um  
  18.00 keV   3.541E-02  6.958E-02  169.01 um    35.72 um    27.81 um  
  20.00 keV   3.733E-02  6.769E-02  186.65 um    38.75 um    30.23 um  
  22.50 keV   3.959E-02  6.545E-02  208.76 um    42.44 um    33.22 um  
  25.00 keV   4.173E-02  6.337E-02  230.93 um    46.01 um    36.18 um  
  27.50 keV   4.377E-02  6.143E-02  253.13 um    49.48 um    39.10 um  
  30.00 keV   4.572E-02  5.961E-02  275.36 um    52.85 um    41.98 um  
  32.50 keV   4.758E-02  5.791E-02  297.61 um    56.12 um    44.84 um  
