 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/1H_800mbar_95-5.txt.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.5820E-04 g/cm3 = 5.1382E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.148E-02  3.215E-04  654.15 um    85.61 um   100.58 um  
  11.00 keV   2.241E-02  2.991E-04  697.92 um    87.42 um   103.72 um  
  12.00 keV   2.328E-02  2.798E-04  740.11 um    89.04 um   106.58 um  
  13.00 keV   2.410E-02  2.631E-04  780.94 um    90.49 um   109.21 um  
  14.00 keV   2.487E-02  2.485E-04  820.55 um    91.81 um   111.63 um  
  15.00 keV   2.559E-02  2.355E-04  859.08 um    93.02 um   113.88 um  
  16.00 keV   2.627E-02  2.240E-04  896.64 um    94.13 um   115.98 um  
  17.00 keV   2.691E-02  2.136E-04  933.34 um    95.16 um   117.95 um  
  18.00 keV   2.752E-02  2.042E-04  969.24 um    96.12 um   119.80 um  
  20.00 keV   2.863E-02  1.880E-04    1.04 mm    98.10 um   123.21 um  
  22.50 keV   2.986E-02  1.712E-04    1.12 mm   100.41 um   127.02 um  
  25.00 keV   3.093E-02  1.574E-04    1.20 mm   102.45 um   130.44 um  
  27.50 keV   3.185E-02  1.458E-04    1.28 mm   104.29 um   133.54 um  
  30.00 keV   3.264E-02  1.359E-04    1.36 mm   105.96 um   136.38 um  
  32.50 keV   3.333E-02  1.274E-04    1.43 mm   107.50 um   139.02 um  
