 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/1H_950mbar_95-5.txt.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.8790E-04 g/cm3 = 6.1028E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.552E-02  3.819E-04  550.76 um    72.08 um    84.68 um  
  11.00 keV   2.662E-02  3.552E-04  587.60 um    73.60 um    87.33 um  
  12.00 keV   2.766E-02  3.324E-04  623.13 um    74.96 um    89.74 um  
  13.00 keV   2.863E-02  3.125E-04  657.50 um    76.19 um    91.95 um  
  14.00 keV   2.954E-02  2.951E-04  690.85 um    77.30 um    93.98 um  
  15.00 keV   3.039E-02  2.798E-04  723.29 um    78.31 um    95.88 um  
  16.00 keV   3.120E-02  2.660E-04  754.92 um    79.25 um    97.65 um  
  17.00 keV   3.197E-02  2.537E-04  785.81 um    80.12 um    99.30 um  
  18.00 keV   3.269E-02  2.426E-04  816.04 um    80.92 um   100.86 um  
  20.00 keV   3.401E-02  2.232E-04  874.76 um    82.59 um   103.74 um  
  22.50 keV   3.547E-02  2.033E-04  945.40 um    84.54 um   106.94 um  
  25.00 keV   3.673E-02  1.869E-04    1.01 mm    86.26 um   109.82 um  
  27.50 keV   3.783E-02  1.732E-04    1.08 mm    87.80 um   112.43 um  
  30.00 keV   3.877E-02  1.615E-04    1.14 mm    89.21 um   114.83 um  
  32.50 keV   3.958E-02  1.513E-04    1.21 mm    90.51 um   117.05 um  
