 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 16, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/20Mg(p,p)/actar_triumf/SRIM files/1H_mixture_90-10_800mbar.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.4448E-04 g/cm3 = 6.1773E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    056.25    023.79   
      C      6    012.50    063.00   
      H      1    031.25    013.22   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.734E-02  4.048E-04  502.15 um    75.29 um    86.70 um  
  11.00 keV   2.852E-02  3.768E-04  536.27 um    76.93 um    89.52 um  
  12.00 keV   2.963E-02  3.528E-04  569.20 um    78.40 um    92.09 um  
  13.00 keV   3.067E-02  3.319E-04  601.08 um    79.72 um    94.45 um  
  14.00 keV   3.164E-02  3.136E-04  632.02 um    80.92 um    96.64 um  
  15.00 keV   3.256E-02  2.974E-04  662.14 um    82.01 um    98.67 um  
  16.00 keV   3.342E-02  2.829E-04  691.51 um    83.03 um   100.57 um  
  17.00 keV   3.424E-02  2.699E-04  720.21 um    83.96 um   102.35 um  
  18.00 keV   3.501E-02  2.582E-04  748.30 um    84.84 um   104.03 um  
  20.00 keV   3.643E-02  2.378E-04  802.90 um    86.58 um   107.13 um  
  22.50 keV   3.798E-02  2.167E-04  868.60 um    88.59 um   110.60 um  
  25.00 keV   3.934E-02  1.993E-04  931.99 um    90.37 um   113.71 um  
  27.50 keV   4.052E-02  1.848E-04  993.50 um    91.96 um   116.54 um  
  30.00 keV   4.154E-02  1.724E-04    1.05 mm    93.41 um   119.15 um  
  32.50 keV   4.242E-02  1.616E-04    1.11 mm    94.74 um   121.56 um  
