 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/20Mg_800mbar_95-5.txt.txt

 Ion = Magnesium [12] , Mass = 20.01886 amu

 Target Density =  1.5820E-04 g/cm3 = 5.1382E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.538E-02  7.361E-02  122.93 um    24.36 um    19.44 um  
  11.00 keV   1.613E-02  7.308E-02  133.38 um    26.12 um    20.83 um  
  12.00 keV   1.685E-02  7.249E-02  143.82 um    27.86 um    22.20 um  
  13.00 keV   1.754E-02  7.187E-02  154.27 um    29.57 um    23.56 um  
  14.00 keV   1.820E-02  7.121E-02  164.73 um    31.27 um    24.90 um  
  15.00 keV   1.884E-02  7.054E-02  175.21 um    32.94 um    26.24 um  
  16.00 keV   1.946E-02  6.986E-02  185.70 um    34.60 um    27.56 um  
  17.00 keV   2.006E-02  6.918E-02  196.21 um    36.24 um    28.87 um  
  18.00 keV   2.064E-02  6.849E-02  206.75 um    37.87 um    30.18 um  
  20.00 keV   2.175E-02  6.713E-02  227.90 um    41.13 um    32.77 um  
  22.50 keV   2.307E-02  6.547E-02  254.48 um    45.15 um    35.97 um  
  25.00 keV   2.432E-02  6.386E-02  281.22 um    49.08 um    39.15 um  
  27.50 keV   2.551E-02  6.232E-02  308.11 um    52.94 um    42.30 um  
  30.00 keV   2.664E-02  6.085E-02  335.15 um    56.73 um    45.44 um  
  32.50 keV   2.773E-02  5.945E-02  362.34 um    60.45 um    48.56 um  
