 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/20Na_800mbar_95-5.txt.txt

 Ion = Sodium [11] , Mass = 20.00735 amu

 Target Density =  1.5820E-04 g/cm3 = 5.1382E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.751E-02  6.779E-02  128.14 um    24.85 um    19.89 um  
  11.00 keV   1.836E-02  6.718E-02  139.07 um    26.64 um    21.31 um  
  12.00 keV   1.918E-02  6.654E-02  149.99 um    28.40 um    22.72 um  
  13.00 keV   1.996E-02  6.586E-02  160.92 um    30.14 um    24.11 um  
  14.00 keV   2.072E-02  6.517E-02  171.84 um    31.85 um    25.48 um  
  15.00 keV   2.144E-02  6.447E-02  182.78 um    33.53 um    26.84 um  
  16.00 keV   2.215E-02  6.376E-02  193.73 um    35.20 um    28.18 um  
  17.00 keV   2.283E-02  6.306E-02  204.69 um    36.85 um    29.52 um  
  18.00 keV   2.349E-02  6.237E-02  215.67 um    38.48 um    30.85 um  
  20.00 keV   2.476E-02  6.100E-02  237.67 um    41.74 um    33.48 um  
  22.50 keV   2.626E-02  5.934E-02  265.28 um    45.73 um    36.73 um  
  25.00 keV   2.768E-02  5.776E-02  293.00 um    49.63 um    39.94 um  
  27.50 keV   2.903E-02  5.626E-02  320.81 um    53.43 um    43.12 um  
  30.00 keV   3.032E-02  5.484E-02  348.71 um    57.14 um    46.27 um  
  32.50 keV   3.156E-02  5.349E-02  376.70 um    60.76 um    49.39 um  
  35.00 keV   3.275E-02  5.221E-02  404.75 um    64.31 um    52.48 um  
