 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 15, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/20Na_950_95-5.txt

 Ion = Sodium [11] , Mass = 20.00735 amu

 Target Density =  1.8790E-04 g/cm3 = 6.1028E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.079E-02  8.051E-02  107.89 um    20.92 um    16.75 um  
  11.00 keV   2.181E-02  7.980E-02  117.09 um    22.43 um    17.94 um  
  12.00 keV   2.278E-02  7.903E-02  126.28 um    23.91 um    19.13 um  
  13.00 keV   2.371E-02  7.822E-02  135.48 um    25.37 um    20.30 um  
  14.00 keV   2.460E-02  7.740E-02  144.68 um    26.81 um    21.45 um  
  15.00 keV   2.547E-02  7.657E-02  153.89 um    28.23 um    22.59 um  
  16.00 keV   2.630E-02  7.573E-02  163.11 um    29.64 um    23.73 um  
  17.00 keV   2.711E-02  7.490E-02  172.34 um    31.03 um    24.85 um  
  18.00 keV   2.790E-02  7.407E-02  181.58 um    32.40 um    25.97 um  
  20.00 keV   2.941E-02  7.245E-02  200.11 um    35.14 um    28.19 um  
  22.50 keV   3.119E-02  7.048E-02  223.35 um    38.51 um    30.92 um  
  25.00 keV   3.288E-02  6.861E-02  246.68 um    41.78 um    33.63 um  
  27.50 keV   3.448E-02  6.683E-02  270.10 um    44.98 um    36.30 um  
  30.00 keV   3.602E-02  6.514E-02  293.59 um    48.10 um    38.95 um  
  32.50 keV   3.749E-02  6.353E-02  317.16 um    51.16 um    41.58 um  
  35.00 keV   3.890E-02  6.201E-02  340.78 um    54.14 um    44.19 um  
