 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/3He_800mbar_95-5.txt.txt

 Ion = Helium [2] , Mass = 3.003 amu

 Target Density =  1.5820E-04 g/cm3 = 5.1382E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.001E-02  2.590E-03  765.42 um   157.76 um   156.13 um  
  11.00 keV   1.053E-02  2.432E-03  837.23 um   166.79 um   167.64 um  
  12.00 keV   1.103E-02  2.295E-03  907.42 um   175.10 um   178.50 um  
  13.00 keV   1.151E-02  2.174E-03  976.03 um   182.78 um   188.76 um  
  14.00 keV   1.198E-02  2.067E-03    1.04 mm   189.89 um   198.48 um  
  15.00 keV   1.243E-02  1.971E-03    1.11 mm   196.50 um   207.70 um  
  16.00 keV   1.287E-02  1.884E-03    1.17 mm   202.67 um   216.45 um  
  17.00 keV   1.329E-02  1.806E-03    1.24 mm   208.44 um   224.78 um  
  18.00 keV   1.371E-02  1.735E-03    1.30 mm   213.85 um   232.72 um  
  20.00 keV   1.451E-02  1.610E-03    1.42 mm   223.99 um   247.54 um  
  22.50 keV   1.545E-02  1.479E-03    1.56 mm   235.27 um   264.34 um  
  25.00 keV   1.635E-02  1.370E-03    1.70 mm   245.15 um   279.52 um  
  27.50 keV   1.719E-02  1.278E-03    1.83 mm   253.88 um   293.32 um  
  30.00 keV   1.800E-02  1.198E-03    1.96 mm   261.68 um   305.95 um  
  32.50 keV   1.858E-02  1.129E-03    2.08 mm   268.75 um   317.62 um  
