 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/4He_800mbar_95-5.txt.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.5820E-04 g/cm3 = 5.1382E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.600E-03  3.226E-03  775.59 um   155.88 um   149.11 um  
  11.00 keV   9.043E-03  3.035E-03  852.66 um   165.96 um   161.37 um  
  12.00 keV   9.468E-03  2.868E-03  928.46 um   175.34 um   173.07 um  
  13.00 keV   9.878E-03  2.720E-03    1.00 mm   184.09 um   184.24 um  
  14.00 keV   1.027E-02  2.590E-03    1.08 mm   192.27 um   194.92 um  
  15.00 keV   1.066E-02  2.472E-03    1.15 mm   199.93 um   205.14 um  
  16.00 keV   1.103E-02  2.366E-03    1.22 mm   207.13 um   214.92 um  
  17.00 keV   1.140E-02  2.270E-03    1.29 mm   213.90 um   224.28 um  
  18.00 keV   1.175E-02  2.183E-03    1.36 mm   220.29 um   233.27 um  
  20.00 keV   1.243E-02  2.029E-03    1.49 mm   232.37 um   250.19 um  
  22.50 keV   1.324E-02  1.867E-03    1.65 mm   245.94 um   269.57 um  
  25.00 keV   1.401E-02  1.732E-03    1.81 mm   257.92 um   287.24 um  
  27.50 keV   1.475E-02  1.617E-03    1.95 mm   268.58 um   303.45 um  
  30.00 keV   1.545E-02  1.518E-03    2.10 mm   278.16 um   318.39 um  
  32.50 keV   1.613E-02  1.432E-03    2.24 mm   286.82 um   332.21 um  
