 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 15, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/4He_950mbar_95-5.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.8790E-04 g/cm3 = 6.1028E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.021E-02  3.831E-03  653.00 um   131.24 um   125.54 um  
  11.00 keV   1.074E-02  3.604E-03  717.89 um   139.73 um   135.86 um  
  12.00 keV   1.125E-02  3.406E-03  781.70 um   147.63 um   145.71 um  
  13.00 keV   1.173E-02  3.231E-03  844.43 um   154.99 um   155.12 um  
  14.00 keV   1.220E-02  3.076E-03  906.07 um   161.88 um   164.11 um  
  15.00 keV   1.266E-02  2.936E-03  966.64 um   168.33 um   172.71 um  
  16.00 keV   1.310E-02  2.811E-03    1.03 mm   174.39 um   180.94 um  
  17.00 keV   1.353E-02  2.697E-03    1.08 mm   180.09 um   188.83 um  
  18.00 keV   1.396E-02  2.592E-03    1.14 mm   185.47 um   196.40 um  
  20.00 keV   1.477E-02  2.409E-03    1.25 mm   195.64 um   210.64 um  
  22.50 keV   1.573E-02  2.218E-03    1.39 mm   207.07 um   226.96 um  
  25.00 keV   1.664E-02  2.057E-03    1.52 mm   217.15 um   241.84 um  
  27.50 keV   1.752E-02  1.921E-03    1.65 mm   226.13 um   255.49 um  
  30.00 keV   1.835E-02  1.803E-03    1.77 mm   234.19 um   268.06 um  
  32.50 keV   1.916E-02  1.701E-03    1.88 mm   241.48 um   279.70 um  
